Starting Focused App Recording
20220301T1003285838--pwsh--TopLeft{0;0}--BottomRight{0;0}--F
20220301T1003301454--pwsh--TopLeft{761;471}--BottomRight{1176;630}--F
20220301T1003315041----TopLeft{761;471}--BottomRight{1176;630}--F
20220301T1003328169----TopLeft{761;471}--BottomRight{1176;630}--F
20220301T1003341151--notepad--TopLeft{958;160}--BottomRight{1870;935}--F
20220301T1003354120--notepad--TopLeft{958;160}--BottomRight{1870;935}--F
20220301T1003366815--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003379191--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003392202--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003405233--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003418210--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003430978--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003443958--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003459214----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003474089----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003487540----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003501736--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003514088--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003526457----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003538607----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003552741--mspaint--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1003566054--mspaint--TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1003578873--mspaint--TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1003591861--mspaint--TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1004004423--mspaint--TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1004017187--mspaint--TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1004030714----TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1004043309----TopLeft{871;91}--BottomRight{1783;866}--F
20220301T1004056841--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1004069200--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1004081600--notepad--TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1004094096----TopLeft{537;121}--BottomRight{1449;896}--F
20220301T1004106465--pwsh--TopLeft{761;471}--BottomRight{1176;630}--F
20220301T1004118746--pwsh--TopLeft{761;471}--BottomRight{1176;630}--F
