Starting Mouse Recording
20220228T1148253799--{X=987,Y=683}--None--M
20220228T1148254014--{X=1011,Y=750}--None--M
20220228T1148254155--{X=1029,Y=806}--None--M
20220228T1148254263--{X=1038,Y=841}--None--M
20220228T1148254373--{X=1046,Y=880}--None--M
20220228T1148254483--{X=1051,Y=911}--None--M
20220228T1148254597--{X=1055,Y=943}--None--M
20220228T1148254714--{X=1059,Y=967}--None--M
20220228T1148254822--{X=1062,Y=983}--None--M
20220228T1148254932--{X=1065,Y=994}--None--M
20220228T1148255041--{X=1068,Y=1001}--None--M
20220228T1148255151--{X=1073,Y=1007}--None--M
20220228T1148255261--{X=1077,Y=1011}--None--M
20220228T1148255371--{X=1082,Y=1014}--None--M
20220228T1148255481--{X=1085,Y=1018}--None--M
20220228T1148255701--{X=1091,Y=1026}--None--M
20220228T1148255810--{X=1092,Y=1028}--None--M
20220228T1148255920--{X=1094,Y=1030}--None--M
20220228T1148256029--{X=1094,Y=1031}--None--M
20220228T1148256139--{X=1094,Y=1032}--None--M
20220228T1148256247--{X=1094,Y=1033}--None--M
20220228T1148256357--{X=1094,Y=1037}--None--M
20220228T1148256468--{X=1094,Y=1041}--None--M
20220228T1148256577--{X=1094,Y=1046}--None--M
20220228T1148256686--{X=1094,Y=1050}--None--M
20220228T1148256796--{X=1092,Y=1052}--None--M
20220228T1148256905--{X=1091,Y=1053}--None--M
20220228T1148257015--{X=1089,Y=1053}--None--M
20220228T1148257126--{X=1087,Y=1054}--None--M
20220228T1148257243--{X=1084,Y=1056}--None--M
20220228T1148257350--{X=1083,Y=1058}--None--M
20220228T1148257459--{X=1082,Y=1062}--None--M
20220228T1148257569--{X=1081,Y=1064}--None--M
20220228T1148257678--{X=1081,Y=1066}--None--M
20220228T1148257788--{X=1081,Y=1066}--None--M
20220228T1148257897--{X=1081,Y=1066}--None--M
20220228T1148258007--{X=1081,Y=1066}--None--M
20220228T1148258117--{X=1081,Y=1066}--None--M
20220228T1148258217--{X=1081,Y=1066}--None--M
20220228T1148258319--{X=1081,Y=1066}--None--M
20220228T1148258429--{X=1081,Y=1066}--None--M
20220228T1148258539--{X=1081,Y=1066}--None--M
20220228T1148258649--{X=1081,Y=1066}--None--M
20220228T1148258758--{X=1081,Y=1066}--None--M
20220228T1148258868--{X=1080,Y=1066}--None--M
20220228T1148258978--{X=1079,Y=1066}--None--M
20220228T1148259087--{X=1077,Y=1066}--None--M
20220228T1148259197--{X=1076,Y=1066}--None--M
20220228T1148259300--{X=1075,Y=1066}--None--M
20220228T1148259409--{X=1073,Y=1066}--None--M
20220228T1148259519--{X=1071,Y=1066}--None--M
20220228T1148259628--{X=1069,Y=1065}--None--M
20220228T1148259738--{X=1066,Y=1065}--None--M
20220228T1148259848--{X=1064,Y=1065}--None--M
20220228T1148259958--{X=1062,Y=1065}--None--M
20220228T1148260068--{X=1062,Y=1065}--None--M
20220228T1148260177--{X=1062,Y=1065}--None--M
20220228T1148260279--{X=1062,Y=1065}--None--M
20220228T1148260379--{X=1062,Y=1065}--None--M
20220228T1148260489--{X=1062,Y=1065}--None--M
20220228T1148260598--{X=1062,Y=1064}--None--M
20220228T1148260698--{X=1062,Y=1064}--None--M
20220228T1148260808--{X=1062,Y=1064}--None--M
20220228T1148260908--{X=1062,Y=1064}--None--M
20220228T1148261017--{X=1062,Y=1064}--None--M
20220228T1148261127--{X=1062,Y=1064}--None--M
20220228T1148261237--{X=1062,Y=1064}--None--M
20220228T1148261337--{X=1062,Y=1064}--None--M
